Pathway, States, Transitions, Path, Deadlock, Nondeterminism, Inaccessible States, Equivalent Transitions, Time (ms), Operation, Real Operation, Operands, Numeric, YesOrNo, Choice, Options, Addition, Real Addition, Subtraction, Real Subtraction, Multiplication, Real Multiplication, Division, Real Division, And, Real And, Or, Real Or, Xor, Real Xor, Implies, Real Implies, Affirmation, Real, Not Affirmation, Real Not, Equal, Real Equal, Greater, Real Greater, Greater or Equal, Real Greater or Equal, Less, Real Less, Less or Equal, Real Less or Equal
hospitalar_ivas,=26,=28,=15,=2,=2,=0,=0,=13,=32,=58,=35,=2,=32,=1,=4,=8,=34,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=11,=11,=3,=3,=0,=0,=0,=0,=5,=5,=5,=5,=0,=0
hospitalar_ivas_pediatrico,=49,=63,=31,=4,=1,=0,=0,=35,=54,=54,=29,=5,=20,=4,=18,=0,=0,=0,=0,=0,=0,=0,=0,=2,=2,=0,=0,=0,=0,=0,=0,=19,=19,=20,=20,=10,=10,=0,=0,=1,=1,=2,=2,=0,=0
hospitalar_laringite_pediatrico,=6,=6,=3,=0,=0,=0,=0,=1,=4,=4,=2,=0,=2,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=2,=2,=2,=2,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
hospitalar_lombalgia,=17,=16,=10,=1,=1,=0,=0,=21,=12,=12,=11,=8,=2,=1,=8,=1,=1,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=2,=2,=0,=0,=8,=8,=0,=0,=0,=0,=1,=1,=0,=0
hospitalar_meningite,=7,=9,=4,=0,=0,=0,=0,=3,=16,=21,=4,=0,=4,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=4,=6,=3,=6,=0,=0,=0,=0,=3,=3,=6,=6,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
hospitalar_nauseas_e_vomitos,=23,=24,=12,=1,=1,=0,=0,=7,=16,=16,=13,=0,=13,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=13,=13,=3,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
hospitalar_nauseas_e_vomitos_obstetrico,=23,=24,=12,=1,=1,=0,=0,=8,=16,=16,=13,=0,=13,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=13,=13,=3,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
hospitalar_neutropenia_febril,=12,=11,=7,=0,=0,=0,=0,=11,=20,=44,=21,=2,=18,=1,=3,=4,=28,=0,=0,=0,=0,=0,=0,=5,=5,=1,=1,=0,=0,=0,=0,=1,=1,=3,=3,=0,=0,=0,=0,=3,=3,=3,=3,=0,=0
hospitalar_otalgia,=16,=15,=8,=3,=1,=0,=0,=16,=16,=17,=10,=1,=8,=1,=8,=0,=0,=0,=0,=0,=0,=0,=0,=2,=2,=1,=2,=0,=0,=0,=0,=6,=6,=5,=5,=0,=0,=0,=0,=1,=1,=1,=1,=0,=0
hospitalar_pneumonia_adquirida_na_comunidade,=18,=18,=8,=4,=0,=0,=0,=6,=13,=13,=9,=3,=0,=6,=13,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=1,=1,=1,=1,=9,=9,=0,=0,=1,=1,=1,=1,=0,=0
hospitalar_pneumonia__influenza,=16,=19,=13,=0,=0,=0,=0,=2876,=27,=73,=40,=6,=33,=1,=4,=8,=54,=2,=2,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=4,=4,=3,=3,=0,=0,=1,=1,=4,=4,=4,=4,=1,=1
hospitalar_ramo,=22,=24,=18,=7,=1,=0,=0,=8,=21,=21,=13,=4,=1,=8,=21,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=1,=1,=1,=1,=18,=18,=0,=0,=0,=0,=1,=1,=0,=0
hospitalar_sepse_pediatrico,=12,=16,=13,=1,=1,=0,=0,=5,=12,=21,=16,=1,=15,=0,=0,=2,=8,=0,=0,=0,=0,=0,=0,=0,=0,=2,=5,=0,=0,=0,=0,=4,=4,=2,=2,=0,=0,=0,=0,=1,=1,=1,=1,=0,=0
hospitalar_sibilancia_na_infancia,=31,=38,=25,=7,=0,=0,=0,=8,=31,=31,=17,=5,=5,=7,=18,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=1,=1,=0,=0,=0,=0,=5,=5,=5,=5,=18,=18,=0,=0,=1,=1,=1,=1,=0,=0
hospitalar_sindrome_hipertensiva,=28,=29,=14,=8,=1,=4,=0,=37,=65,=72,=17,=3,=2,=12,=60,=0,=0,=0,=0,=0,=0,=0,=0,=12,=16,=5,=8,=0,=0,=0,=0,=2,=2,=2,=2,=26,=26,=0,=0,=10,=10,=8,=8,=0,=0
hospitalar_tce_pediatrico,=14,=19,=15,=2,=1,=0,=0,=10,=15,=15,=11,=2,=6,=3,=21,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=6,=6,=3,=3,=2,=2,=0,=0,=2,=2,=2,=2,=0,=0
hospitalar_tontura_e_vertigem,=19,=19,=10,=3,=0,=0,=0,=13,=39,=54,=13,=1,=11,=1,=7,=0,=0,=0,=0,=0,=0,=0,=0,=9,=24,=0,=0,=0,=0,=0,=0,=2,=2,=26,=26,=0,=0,=0,=0,=1,=1,=1,=1,=0,=0
hospitalar_trabalho_de_parto_prematuro,=11,=10,=11,=2,=0,=2,=0,=4,=8,=8,=8,=6,=0,=2,=8,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=8,=8,=0,=0,=0,=0,=0,=0,=0,=0
hospitalar_tratamento_de_sepse,=16,=23,=11,=1,=1,=0,=0,=7,=12,=12,=11,=0,=11,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=11,=11,=1,=1,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
hospitalar_tratamento_de_sirs,=32,=40,=16,=1,=1,=0,=0,=5,=24,=24,=16,=0,=16,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=16,=16,=8,=8,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0
hospitalar_tromboembolismo_pulmonar_tep,=8,=7,=4,=1,=0,=0,=0,=5,=8,=8,=6,=3,=0,=3,=16,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=2,=2,=0,=0,=2,=2,=0,=0,=2,=2,=2,=2,=0,=0
hospitalar_trombose_venosa_profunda_tvp,=16,=18,=11,=1,=2,=0,=0,=37,=22,=27,=14,=3,=6,=5,=21,=0,=0,=0,=0,=0,=0,=0,=0,=3,=5,=1,=4,=0,=0,=0,=0,=1,=1,=6,=6,=5,=5,=0,=0,=2,=2,=4,=4,=0,=0
hospitalar_urticaria_pediatrico,=11,=14,=8,=1,=0,=0,=0,=3,=10,=10,=8,=3,=3,=2,=7,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=3,=3,=3,=2,=2,=0,=0,=1,=1,=1,=1,=0,=0
hospitalar_verificar_arbovirose,=4,=3,=3,=1,=0,=0,=0,=1,=3,=3,=4,=3,=0,=1,=3,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=3,=3,=0,=0,=0,=0,=0,=0,=0,=0
hospitalar_verifica_sepse,=5,=5,=4,=0,=0,=0,=0,=3,=10,=15,=8,=2,=6,=0,=0,=5,=10,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=1,=1,=0,=0,=2,=2,=2,=2,=0,=0
hospitalar_zika,=7,=6,=3,=0,=0,=0,=0,=3,=4,=4,=3,=1,=1,=1,=8,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=0,=1,=1,=1,=1,=0,=0,=0,=0,=1,=1,=1,=1,=0,=0
